text,label
"Japanese ""carb trick"" burns 2 lbs of belly fat",0
"How Americans Lost 54,000 Lbs With This , Try Tonight  To unsubscribe  mailing  lick",0
How to make guns legally invisible,1
"If you have any guns stashed in the common hiding spots you'll leary  about on the next page, it""s critical that you move them  immediately.",1
These hiding spots seem foolproof.,0
"(I used to use them all myself, just  like you might be doing right now)  But they're guaranteed to get your guns taken in a confiscation  scenario.",0
Here's why I know this is true:  Former CIA operative Jason Hanson explains exactly why these often-used hiding spots are so terrible in his recent book.,1
He also explains where you SHOULD be hiding your guns so that there's  zero chance they can ever be taken.,1
"Better yet, he'll show you how to make those same guns legally invisible  to the registration system... so snooping government goons never come  looking for them in the first place.",1
Best of all... He's giving away a handful of these books 100% Free  for the next 24 hours.,0
All you have to do is confirm your info and cover shipping to get 1 Free.,0
"That said, he's putting a hard cap on the number of readers who can get  this Free.",0
"There were 500 available last I checked, but this just went out to 142,089  other subscribers just like you.",1
So these Free co} are going to move lightning.,1
Grab yours now and tuck it somewhere safe.,0
"Things are getting rough  out there, and this information has never been more important to have  on hand.",1
Moses  .S.,0
-- You won't just learn about Jason's most effective gun hiding spots  in this book.,0
You'll also find things like:  1.,0
One key date to keep in mind when buying a firearm.,0
This  simple number could mean the difference between staying armed or  being rendered defenseless.,1
How to dupe the police into protecting your firearms - without  them even knowing you have them.,1
"This is an ingenious ""trick"" that  takes virtually no effort...  How to buy and stockpile a lot of ammo, in a very short time,  without raising any flags...  One seemingly innocent document that can tipoff gun grabbers  to the existence of your firearms (and the one step to take to  eliminate any trace)...  t your e hardcopy now while they're still available and  before you forget.",0
Pharmaceutical BIO opt in contacts,0
"Greetings,  We have a list of companies across Pharmaceutical, Ag/Food, biosciences industry, Medical Device, Nutrient  Supplementation, Water Treatment, etc... for contacts like C-Level, VP- Level and Decision Maker contacts from  these companies at very less cost.",0
"If yes, please let me know the job titles and geography you wish to target, so that I can get back with counts and pricing  info on same.",0
"Every Contact Includes this data fields: Contact Name, Email Address, Phone Number, Company Name, Website  Address, Job Title, Physical Address, Revenue Size, Employee Size, SIC Code & Industry.",0
Please specify which industry suites you the best.,0
"If you wish to reach a different set of the target audience, let me know.",0
Look forward to your reply soon.,0
"Best Regards,  Rosalie  Marketing Manager",0
RE: AVMA Attendees Data List-2020,0
"He  Hope you, re doing well!A  Would you be interested in acquiring American Veterinary Medical Association Attendees Email Address with full  contact information?",0
"ion contains:A Org Name, First Name.",0
"Contact Job Title,A Verified Email Address, Website URL, Mailing Address, Phone Number,  Fax Number, Industry and many more""!",0
"Number of Contacts:- 9,748  cost $1,529  Kindly let me know your thoughts, so that we could discuss further details.",0
"Kind Regards,  Elizabeth Lawson  Marketing Coordinator  If you don,t wish to receive further email from us please reply back ""Leave Out""",0
Beat boredom with new art! Custom Canvas Prints are up to 90% Off!,0
This is an advertisement.,0
This email was sent on behalf of Easy Canvas Prints.,0
"To stop receiving emails about Easy Canvas Prints, Unsubscribe or write to:  11525A Stonehollow Dr. Suite 100 Austin, TX 78758  Leave Here  6547 N Academy Boulevard #1170  80918 Colorado Springs CO",0
Gutter Protector's big savings reveal is inside,0
This is an advertisement.,0
