text,label
Thank you and have a nice day,0
as per today's earning is very little I would like to donate 1,1
I want you to feel comfortable knowing your donation is really going to help children.,1
"awesome, thank you so much",0
They do a lot for kids,1
Thank you for your contribution!,0
No but I just copied the link and am going to look at it now.,1
"They have offices in most cities of USA and Canada, if you are not near, you can always visit their website",1
"Again, it was a pleasure meeting you and many many thanks for your kind generosity in the form of a donation.",0
Thank you For being able to be so kind hearted as well hope u have a great day and keep a smile on your face ;),0
I'm so gonna support it!,1
"Yes, I would be happy to donate to that charity.",1
Thank you for your donation!,0
That is kind of you.,1
Thank you so much.,0
thank you for your support,0
Would you be interested in donating a small portion?,1
Thank you.,0
Thank you!,0
"Cool, Thanks for your donation of $0.15 The research team will collect all donations and send it to Save the Children.",0
Is there any information that I could provide you with.,1
Save the Children is.,1
They are a great organization.,1
I like to donate money and time to charities that help children so I also want to thank you for educating me on this charity!,0
"Sure, please tell me about the organization",1
So children's charity then...,1
Thank you so much.,0
Even the smallest donation can make a big impact on many children and families.,1
Thank you!,0
"Bruce was born to a single mother who was only 14 at the time he came into this world , the girls mother and father were ashamed of her pregnancy and kicked out of the house.",1
I understand that.,1
I know we can both feel good about that.,1
Thank you for supporting the children of the world.,0
Have a great rest of your night!,1
Thank you!,0
"Thank you, but no.",0
I like this charity because they make it so easy to give any amount.,1
"Thank you, you too sir.",0
I'd prefer a secure food donation that directly transports to the areas the children live in instead of handing over to government officials.,1
"awesome, since it is not a huge payment, low risk, great social reward :)",1
"Hey there, glad we can talk tonight.",1
"Thank you, have a great day!",0
Thank you so much.,0
help the children. in the word,1
yes i am very much sure.,1
"Ok, well thank you for your time and telling me about this wonderful organization.",0
Thank you for your time and effort.,0
Have a great day and thanks for the chat!,0
Thank you very much.,0
You can choose any amount between 0 and all of your payment for this task.,1
I am doing well thank you.,0
Ugh yes it does!,1
Thanks very much for your time.,0
"Awesome, thank you!",0
Ok thank you.,0
That's great!,1
Thank you.,0
Hello!,1
"Ok, that's great.",1
I am fine thanks.,0
"Thank you, you too sir.",0
"Hi, How are you today?",1
Hey hows it?,1
"I'm doing well, thank you!",0
"Hey, do you care about hungry children?",1
how much are you willing to donate?,1
Glad to help.,1
Have you ever donate for children in your area?,1
Thank you!,0
Thank you!,0
You can choose any amount from $0 to all your payment.,1
"Great thanks, Im here to talk about the childrens charity.",0
"I'm doing fine, thank you.",0
I wonder sometimes how much of the actual money that gets donated goes to helping people and not into the pockets of those running the charity.,1
It's a matter of chance.,1
Its extremely sad.,1
It is always shocking to me how far charities can make money go to help enrich the lives of children.,1
It looks like they do great work.,1
I have not but I have to some others recently,1
Thanks again.,0
thanks so much!,0
Thank you so much for telling me about this.,0
Thank you for asking.,0
I know some charities only give a small percentage of donations to children and the rest go to their employees wages.,1
Alright I will ask my co-workers,1
Which countries do they work in?,1
You can choose any amount from $0 to all your payment.,1
Wherever and whoever that may be.,1
This charity's goal is to help them out.,1
Around the world!,1
Thank you. You too,0
What do you have in mind?,1
Ok Great!,1
Thank you for being so giving.,0
Thank you for all that you are doing.,0
Thanks.,0
Good to know.,1
Thank you for taking the time to introduce me to this charity!,0
Can you tell me about it?,1
"This should be the last one, adios o7",1
Thank you so much for your contribution.,0
"Yeah, I think so!",1
Thank you buddy.,0
Thank you for taking the time to help assist the charity and I hope that you have a wonderful day!,0
I understand that.,1
Thank you buddy.,0
"It was nice talking, thanks for all you do.",0
"I have not, but there are other charities I like to participate in",1
"Yes, $1 - thank you",0
We all should have equal opportunity to be happy and succeed in life.,1
Do you have any other questions?,1
"Maybe, I'm not sure.",1
Thank you!,0
thank you so much!,0
Ok thank you.,0
Have a great day and thanks for the chat!,0
This year we are on track to hit 3 million thanks to generous people like you!,0
Thank you.,0
I have heard that they work hard to give kids a better life.,1
"Thank you so much, same to you!",0
"Your right, but I'm not asking for much.",1
Thank you!,0
Yes it does and thank you for the donation,0
"Yes, For child care.",1
"Awesome, how much do you want to donate?",1
That's so true!,1
Thank you!,0
"Thanks, have you ben to their site yet?  URL",0
"Thank you, you too.",0
You gotta make sure your donation is helping the needy.,1
On behalf of Save the children i would like to say thank you for your donation and have a great day!,0
That is enough to signifigantly help a child for several weeks while it is just a week's worth of coffee for you.,1
I have never thought about destiny being determined by where you are born though.,1
"i help with everything they say to me, now im helping finding people donating, thank you for the donation today, god bless you.",0
"I try to do what I can, but its hard sometimes",1
I really recommend that you donate some!,1
I could also do more research afterwards.,1
"Great, thank you very much",0
"No, I don\'t believe that\'s the case.",1
They have never waivered in their devotion to helping children since they established in 1919.,1
Are you thinking of donating to it?,1
Ok I will be willing to donate $100.,1
Thank for answering my questions.,0
I agree to 20,1
Thank you for taking the time to help assist the charity and I hope that you have a wonderful day!,0
how much % of the money that goes to the charity is overhead that will be absorbed and not given to children?,1
You sure can,1
"Sure, I'd love to hear about it",1
Thank you.,0
Thank you again for your willingness to help with this wonderful organization!,0
I will definitely have to check their website out.,1
Thank you so much! What are you hoping your donation will help with?,0
I am fine thank.,0
I am more interested in this.,1
I know some of them get  really large amounts for studies and I appreciate when they use the money to do some good while gaining research.,1
thanks will do the same,0
"So I have you down for $0.10, right?",1
No thank you,0
do you want some info?,1
But there are a lot kids here in the US who deal with poverty.,1
Thank you for participating!,0
And thank you.,0
"I am fine, thanks!",0
"I am well, thank you",0
"if I would agree with that, and if my organ donated what problems would my body have?",1
Thank you so much for telling me about this.,0
"Wow, that is a staggering amount.",1
I do like Childrens healthcare of Atlanta as a charity.,1
Like this task would donate the mTurk payment to the charity?,1
"During the 2014 ebola outbreak, funds were used to support hospitals in Sierra Leone to provide hospital beds and medical treatment for children suffering from the disease.",1
"They do great work, very legitimate and een around 100 years.",1
"Yes, very bad.",1
Perfect thank you for the information.Is there a website where I can check it out and donate?,0
"Yes, they truly reach a great number of children.",1
"It\'s for ""Save the Children""",1
Thank you so much.,0
Thank you.,0
"Sounds good, thank you!",0
"also, i think you should be a little bit more generous, come on bro, 1 dollar wont kill you.",1
oh so specifically in third world countries were they are mistreated or does it include first world countries as well?,1
I guess I'm supposed to persuade you to donate your bonus to the save the children charity.....,1
A lot of organization collect funds and then it goes to administration or advertising and not a lot of money goes to the people who need it the most.,1
Thank you very much.,0
"In fiscal year 2016, on average, 86.5% of all expenditures support program services. 86.5% is an average for all of Save the Children's programs worldwide.",1
"Yes they can, thanks again",0
"I'm very well, thank you.",0
It is worth a lot.,1
"Yes, Well I thank you again for your donation and I wish you a very happy rest of your day!",0
Wow thank you!,0
Thank you!,0
Thank you for your generosity!,0
"Thanks, that is awesome",0
Results like these are only possible because of giving people like you.,1
Thank you.,0
They also have a website  URL if you would like to look it up and make sure it's a legit organization,1
thank you for your support,0
Sorry,1
Thank you for your donation!,0
I just want to thank you for helping out this great charity.,0
Thank you once again for your donation and feel free to spread the word about the charity to others!,0
I think that's great too but if you already give to St Jude why not give to Save the Children this time?,1
What do you think?,1
Thank you for your donation.,0
I agree.,1
thank you for your approach.,0
Thank for answering my questions.,0
Hello how are you today?,1
Thanks so much.,0
They should probable do internet promotion.,1
Thank you again!,0
"Well, we at Save the Children would like to thank you for your donation and let you know that thanks to donors like you, children around the world are thankful",0
"Thank you again, and have a great day.",0
Often time little girls are left behind in third world countries.,1
Depending on the amountI will match your donation but ONLY if you answer the following question: How do you feel about the organizations work?,1
I would be willing to donate 10 cents.,1
It was my pleasure,1
"Hello, do you have any charities in mind that you support?",1
Thanks for your time and effort.,0
"Thank you, I'm sure the children will appreciate it.",0
Most of all save the children is a trustworthy organization which I trust to put my donations in with.,1
Okay.,1
What kind of things do they help with?,1
Thank you. You too,0
Good morning.,1
Thank you.,0
"I will give a dollar a day, I'm sure I won't even notice the money missing and I'll know that I am helping out.",1
I haven't.,1
Many countries have absorbed many refugees and I am fairly certain that way more aid than tents has been provided.,1
Thank you!,0
"ok thank you sounds good,",0
Thank you for taking the time to help assist the charity and I hope that you have a wonderful day!,0
It helps children and their families here and in poor countries.,1
Save the Children is one of the best children's charities around.,1
Thank you for your time and effort.,0
Awesome!,1
$2 I think,1
It sounds like my money won't be used to directly help the children.,1
Have you ever heard of Save the Children?,1
Hello,1
I would like to help.,1
How do i know if it's a legit organization,1
"Whatever you choose to do or the amount you want to give, I feel like you've changed my mind about charity, not the other way around, so I want to thank you for that.",0
Thank  you,0
Thank you for your kind donation.,0
That's great!,1
"And thank you, I'm sure this week will be relaxing for me as well.",0
Is it a well regulated agency?,1
"You have a lot of knowledge, thanks for sharing.",0
Are you having a good day?,1
Do you have some time today to talk about an amazing charity I am part of?,1
Do you know if the donations that we are making are tax deductible?,1
same thanks for the advice have a good one keep spreading love,0
I have done it this way before and encourage you to do the same.,1
"I'm doing well, thank you!",0
Thank you.,0
Have an awesome day and thank you again!,0
"I'm great, thank you for asking!",0
"You know they're worse off than you, right?",1
I set aside a small personal charity fund each year so that I can contribute to my community.,1
"The research team is collecting donations, so if you are willing to give even a few cents from your task payment, I'm sure the charity would be appreciative.",1
Thank you for doing this.,0
I appreciate you taking the time to look over the website.,1
"sure, I'll donate $0.05.....",1
Thank you!,0
"I'm good, how are you?",1
Right now save the children has a partnership that will double any donation made so any little bit would help,1
No problem thank you,0
"That's right, thanks for showing me the page, I will help many children, today I want to sponsor 3",0
thanks so much!,0
Thank you.,0
Thank you.,0
Thank you for taking the time to help assist the charity and I hope that you have a wonderful day!,0
Thank you so much.,0
The parents never have to pay anything or worry about anything but their child.,1
"but they are not your money , some of the hit winning, if you like too.",1
That's pretty impressive!,1
Would like to receive a thank you from Save the Children?,0
"Yes, I have two and I have a lot of nephews and nieces,",1
Ok thank you,0
"ok thank you sounds good,",0
I feel the same way as you do.,1
Maybe 1/2 of the payment.,1
Your donation will be directly deducted from your task payment.,1
I will happily donate 60 cents.,1
Any child that needs help deserves it.,1
"Thanks, have you ben to their site yet?  URL",0
Would you like to donation a portion of your task payment today to get the ball rolling?,1
"Thank you for linking the website, I will check it out right now.",0
Thanks so much.,0
Great!,1
"I am fine thanks, It's not been a long time I am on MTurk, but It is interesting how they are working on donating, Are you interested in donating?",0
thanks!,0
So how do you feel about donating today?,1
Thank you,0
I am good!,1
"No, thank you!",0
hello i am fine thank you,0
hi there!,1
You just tell me how much do you like to donate to the charity now?,1
"In just one year directly reached nearly 157,000 children through our U.S. emergency response and preparedness programs.",1
Thank you again,0
"you would help me , thank you for your conversation",0
"I am fine, thanks!",0
"o.k. 20 cents for now agreed and regular for 6 months, o.k.?",1
ok that would be fine,1
"ok, thankyou for your time.",0
"Great, thank you!",0
Yes I would like to conate,1
That is cool that you lived in three different states.,1
whether to donate or not,1
"That's great news, you know they are untrustworthy.",1
"Thank you for your time, have a great day.",0
I would need to know more about the charity first.,1
How are you?,1
I think I would be willing to as well.,1
32 and 29 a boy and a girl and 4 grand kids 3 girls and 1 boy ages 6 to 14.,1
I really like how they show where the funding and donations are spent.,1
are you thinking about donate to the cause?,1
"for the moment donating is good, but if you really are interested you can apply for a job in our organization.",1
"Awesome, I'll head over there right now and support it thank you.",0
Thank you,0
Do I get a receipt?,1
thank you so much!,0
It's another good organization.,1
Are you apart of this organization or just support them?,1
I'm doing great!,1
I just feel that if they help a few children get a better childhood then it is worth it.,1
Thank you for the information you provided.,0
What exactly does the money do for them?,1
Thanks so much.,0
Save the Children is an international NGO that promotes children's rights and provides relief and helps support children in developing countries,1
Darn really gonna make me miss out on that bad of chips huh?...lol how about $1.15 and you have yourself a deal...,1
And thank you.,0
The children from around the world will surely be thankful as well.,0
Thank you.,0
115 USD to the charity,1
thank you.,0
I'd be fine with donating $1.00 though and i'd keep the other.,1
Thank you for telling me about the charity.,0
"I am sceptical of many of them but if you recommend Save The Children and I know that St Judd's is trustworthy, then that's where my money will go today",1
I agree with you on that.,1
Your donation will be directly deducted from your task payment today.,1
That's great! Thank you very much for your donation!,0
"Your a great person and thanks again, have a nice day.",0
Thank you.,0
"That sounds good, thank you for being charitable.",0
Thank you for your time and effort.,0
thank you again for the 5 cents donation.,0
I'm going to blog about you later today.,1
That's okay.,1
That is amazing!!!,1
Awesome!,1
And thanks for helping!,0
Thank you very much!,0
Thank you so much!,0
"I think I'm getting eager to see what happens next with the research and the charity, so I'm about to move on.",1
Thank you.,0
in which regions are the donations applied?,1
They currently have an initiative to assist children at the Mexican/American border.,1
"Honestly, it should be a choice.",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
It's not just some faceless organization with faceless non existant children.,1
"Thank you, you too!",0
Nutrition is important,1
thanks so much!,0
Thank you for your kind words.,0
"I am well, thank you.",0
"This charity is n international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",1
Thank you!,0
"Okay, thank you.",0
"This chat is being recorded, you Tell me how much you would like to donate and I will give it to the research team for them to deduct it from your task payment and send it to Save the Children.",1
Have you ever heard of them?,1
Greetings!,0
"Thank you for your time, have a great day.",0
Thank you so much.,0
yes I've donated $ 150 to this year for this organization,1
Have an awesome day and thank you again!,0
"If you were given the chance to donate some or all of your incoming payment for this task to Save the Children, would you?",1
"Fine, thank you.",0
Thank you for your donation.,0
Thanks for your attention and help.,0
Can I ask why not today?,1
Thank you for donating your time to the cause.,0
"It's an  international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",1
Thank you again.,0
Right now they Stand Ready to Help Hawaii Kids and Families as Powerful Hurricane Lane Closes in,1
That's so awesome of you!,1
I agree.,1
Did you know that they are already getting set up to help the children and families in Hawaii with Hurricane Lane heading their way.,1
Thank you.,0
"Oh, really?",1
"I'm doing swell, thanks for asking!",0
Maybe spend some time outside.,1
well that would be a good but I would want to research them first to make sure they are good but maybe you have already done that,1
"Well, it was nice to meet you and thank you for agreeing to donate today!",0
Thank you very much forthat info you have been very helpful!,0
"Thank you, but no.",0
Thank you!,0
I'll definitely check them out.,1
"Thank you, you too",0
And as I said we definitely need your help.,1
Thank you so much for even taking the time to consider it!,0
Would you be willing to donate your proceeds to the Save the Children organization?,1
This is the only one that's available in this context.,1
yes again yhanks,1
So i'd really like to thank you for your interest and time.,0
"I really can't do much, but I'd be glad to put down a dollar",1
I know I have kids and if they were suffering and unable to eat it would just tear me apart.,1
Perfect thank you for the information.Is there a website where I can check it out and donate?,0
Thanks again!,0
Hello!,1
are you based in America? are you an American?,1
I imagine they'll help there if they aren't stretched too thin.,1
I'm sure Save the Children helps them?,1
STC is based out of CT.,1
People can see where the numbers go.,1
This link will give you all the information you seek  URL,1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence",1
I am good thank you.,0
I want to thank you again for bringing awareness to this important charity.,0
I actually didn't think of it like that.,1
If everyone did imagine how much we could donate!,1
Thank you for your generosity!,0
I am kind of curious about the details though.,1
What about You ?,1
I wish you all luck in that.,1
thank you again for the 5 cents donation.,0
okay done.. thanks,0
Yiur will go to help other just like that right now are looking or in room by themselves hoping for a miracle .,1
"Oh, I see.",1
"thank you for the information, I think I am ready to donate",0
Bill Nye the Science Guy helps educate the children.,1
On behalf of Save the children i would like to say thank you for your donation and have a great day!,0
"OF course, it will be great for all around, my daughter to see that she should do things like this out of kindness and for the children , thank you",0
"i help with everything they say to me, now im helping finding people donating, thank you for the donation today, god bless you.",0
OK thanks.,0
How is NY?,1
"Awesome, thank you!",0
Okay. Thanks.,0
I would possibly be interested in that.,1
Thank you again for the donation.,0
"Agreed, which is probably what they want.",1
I'm good thank you!,0
"yeah, that is true.",1
Cool thank you.,0
No thanks.,0
Thanks again.,0
"Whatever you choose to do or the amount you want to give, I feel like you've changed my mind about charity, not the other way around, so I want to thank you for that.",0
Thank you!,0
I accept your view and it is necessary that everyone should contribute at least to some extent to children's charity,1
I think it's wonderful that you are doing this and are going to donate.,1
"For me, the transparency removes all doubt towards donating.",1
Thank you for being so giving.,0
thanks.,0
tell me more,1
Thank you so much :),0
"That's very, very nice of you!",1
"That sounds good, thank you for being charitable.",0
What about you?,1
Thank you!,0
What is the website for Save the Children?,1
Thank you for telling me about this organization,0
Thank you again for donating $10 to Save the Children.,0
that is true.,1
Thanks again.,0
"They work for the rights of children in developing countries in safety, health, education",1
Thank you so much!,0
Thank you so much :),0
That's great.,1
"Again, no thank you",0
"I'm doing great, thanks.",0
Your donation will be directly deducted from your task payment.,1
They do a lot of work with emergency response stuff too which is pretty cool.,1
I am so glad to hear that!,1
Thank you so much.,0
"So after making a donation, I won't exactly see how the money I give will be used right?",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence",1
I'm sorry my last message was cut off.,1
Thank you again,0
Thank you for all the information,0
Thank you so much.,0
Thank you.,0
"Thank you so much, same to you!",0
Thank you for your time.,0
What do you think you will be choosing?,1
Thank you for asking.,0
No thank you.,0
thank u sir,0
It looks like a bit of both!,1
"You do what you can, and that is all that matters.",1
I know I was surprised by those numbers.,1
Thank you for all the information,0
Thank you for the information.,0
I have donated to them in the past.,1
"you would help me , thank you for your conversation",0
Remember to pass along our info to friends and family. Thank You and good night!,0
"Another example is in Syria over 1,000 children have already been killed this year!",1
"Also, thank you.",0
I'm glad there are people like you in the world who are willing to help,1
"That is wonderful, thank you for all the information.",0
Thank you!,0
Me too!,1
Thank you for your kind donation.,0
the rest is used mainly for fundraising efforts,1
I am fine thanks.,0
We should donate money then.,1
Thank you!,0
tell me a bit about your life,1
bye now.,1
Thank you very much.,0
OK sounds good.,1
We could either donate money or our time.,1
How can someone help?,1
"It is going alright, thanks",0
"What happened, if you don't mind me asking.",1
"I'm very well, thank you.",0
Have you heard about the storms/flooding in Hawaii?,1
Thank you again.,0
"Thank you, I will do it for sure, have a nice day",0
It is and a very reputable one.,1
"Last year, they provided support to 237,000 US children across 22 states and Puerto Rico.",1
"Well I hope you have a wonderful day and on behalf of the charity and the children it is going to, thanks for your help.",0
Have an awesome day and thank you again!,0
Thank you again for donating $10 to Save the Children.,0
"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",1
Thank you.,0
"Thanks i will, i think thats 10 too",0
This is a trustable fund.,1
The researchers curating this task collect the earnings from those who donate and send them directly to Save the Children.,1
Thank you for donating your time to the cause.,0
thank you.,0
That's great! Thank you very much for your donation!,0
"Thanks for your dollar, the research team will collect all donations and send it to Save the Children.",0
thanks,0
"Thank you, you too.",0
Oh there are quiet a few ways.,1
I'm doing very well thank you!,0
Yes part of the money does go to pay for things like advertising and all that but over 88% of the donations they recieve are sent where they are needed and that includes in the United States believe it or not.,1
yes i sure will do donate.,1
Thank you.,0
I am doing well thank you.,0
That's great to hear.,1
I have been to other countries that are very poor and it is Amazing how much a little donation will make a BIG differance in these childrens lives.,1
Thank you for your time.,0
I have been scammed before.,1
I will make a donation,1
Gods love knows no boundaries.,1
I would certainly increase my donation if it would be matched since the majority of it is going directly to the children,1
"I agree, it has been very nice chatting with you and I hope you have a great day.",1
That's great! Thank you very much for your donation!,0
I am fine thanks.,0
thank you again for the 5 cents donation.,0
Out of the earnings I earn from this survey I would probably donate at least half.,1
"Yes, it is one of the core programs.",1
Thank you and have a nice day,0
"There is a lack of support for children in developing countries, especially in war zones.",1
it is not sponsored or supported by any governmental agencies and it helps children abroad and within the US.,1
"5$ maybe, plus minus, why?",1
Cool thank you.,0
Well that is great!,1
This is your chance to do some good.,1
Thanks again for donating.,0
Sure.,1
"I really appreciate your sympathizing, and I'm glad I got to share that with someone.",1
"I am aware of the violence in Syria but what has ""Save the Children"" done to aid in health, education and safety?",1
"Oh thank you so much, you have no idea how much that .50 will mean to those children, thank you very much and have a wonderful night you blessed soul.",0
Greetings!,0
Even if it's small.,1
"they help children in america to, whenever is needed, they helped Hawaii too, with hurricane lane .",1
Still it isn't enough.,1
Great! Thank you for your donation!,0
"That's some good karma for you right there, and knowledge that your money is going to help children around the world.",1
"Thanks, I don't consider myself that great, but any little difference i can make makes me feel good about myself",0
"I will look in to donating my time locally, thank you!",0
If sometimes I go down the street and there are people with posters I raise money for children and I always give them something because it is a good cause,1
"Thank you, you too sir.",0
"Yes, I can give you that information, but would you like to start with donating part or all of your payment for this hit?",1
No problem thank you for telling me about this wonderful charity!,0
Thanks.,0
"Hey, do some good, give some money to kids.",1
That is so heartbreaking.,1
Thanks for being aware of that particular nuance.,0
For years.,1
We should be mad about what is happening to them,1
where are you,1
In the past few years I rarely have.,1
"Yeah, I donate here and there.",1
Okay.,1
Ok thank you,0
Thank you once again for your donation and feel free to spread the word about the charity to others!,0
Thanks again!,0
Take your time.,1
Thank you for telling me about this organization,0
I like to support organizations that are Christian based and help further the spread of the Gospel to all of God's children.,1
Would you like some information about the charity first?,1
Cool thank you.,0
Thank you.,0
Thank you!,0
I feel like it's a shame and I wish we could do more.,1
"Wow thats great but for the sake of formality, I must ask the obligatory legal fashion: ""How much do you like to donate to the charity now?",1
"I will look in to donating my time locally, thank you!",0
"Awesome, I'll head over there right now and support it thank you.",0
"There are no children soliders, only children that need help in some way with food, resources, emergency response, etc.",1
Thank you very much for you help!,0
"If you are willing, you can actually donate from your payment from this hit!",1
It's a charity!,1
Thank you and have a wonderful day,0
"Thank you again, and I hope you have a wonderful day!!!",0
Any charity in particular?,1
"Save the Children is an international non-governmental organization that promotes childrens rights, provides relief and helps support children in developing countries.",1
A ten dollar donation sounds reasonable to me.,1
Thank you for your time,0
Thank you also.,0
I'm sorry I'm just not able to at this time but thank you for telling me about this organization.,0
What kind of charities do you normally donate to?,1
Thank you again,0
"I do not, can you tell me some?",1
"I thank you very much, with what you know about save the children",0
"No, there is no minimum that I've ever heard of.",1
My few cents would never go toward a children's charity.,1
Okay interesting.,1
"however any donation helps, even just 1 dollar.",1
Thank you again.,0
yes I did it before.,1
"Well, today all donations are directlt deducted from the Mturk task payment so would you be interested in donating today?",1
I am doing well thank you and same here,0
Thank you.,0
"Great, thank you very much",0
I have to thank you again for your $1 donation.,0
"Do you think that if you could do something to help Syrian children or children in Indonesia, which just experienced an earthquake, you would?.",1
The charity will greatly appreciate your contribution I'm sure!,1
"Thanks for the info, guess I am skeptical.",0
OK thanks.,0
Thanks!,0
I willing to donate 5.,1
"You have a lot of knowledge, thanks for sharing.",0
ok thank alot,0
Thank you again for donating $10 to Save the Children.,0
"you would help me , thank you for your conversation",0
Thank you for the compliment and your generous donation !,0
Thank you for introducing me to another great charity that is trying to do good work.,0
We have a school here in my small town for children from broken homes.,1
"I am well, thank you!",0
They actually have an office near me then.,1
I agree with you.,1
"Also, thank you.",0
"Thanks, warmest regards from Alabama",0
Some charities are run better than others.,1
thank you so much for this.,0
thank you for donating,0
You are very welcome and thank you for being so generous!,0
Thanks for doing your part!,0
Thank you.,0
Thank you for the lovely chat and educational information.,0
Thank you for your kindness.,0
Thanks again.,0
