Text,Predicted_Label,Justification,Persuasive_Phrases,Techniques
"User ID:  enrondlr PW:        bnaweb22  -----Original Message----- From: 	""BNA Highlights""  Sent:	Thursday, June 28, 2001 11:10 PM To:	BNA Highlights Subject:	June 29 -- BNA, Inc. Daily Labor Report ______________________________ DAILY LABOR REPORT Highlights & Table of Contents June 29, 2001 ______________________________ ISSN 1522-5968 Registered Web subscribers can access the full text of these articles by using the URL link supplied. Information about becoming a subscriber or signing up for a FREE Web trial is available at http://web.bna.com or call BNA Customer Relations at 1-800-372-1033, Mon. - Fri. 8:30 am - 7:00 pm (ET). __________ HIGHLIGHTS __________ D.C. CIRCUIT OVERTURNS NLRB DECISION ON WORKPLACE CONDUCT POLICIES A California firm's two workplace policies barring abusive and threatening language and restricting solicitation and distribution did not constitute unfair labor practices, the District of Columbia Circuit rules, overturning a National Labor Relations Board decision (""Adtranz ABB Daimler-Benz Transp. N.A. Inc. v. NLRB, ""D.C. Cir., No. 00-1282, 6/26/01). The board held the workplace conduct policies of Adtranz ABB Daimler-Benz Transportation N.A. Inc. interfered with employees' exercise of their rights under the National Labor Relations Act. The board ordered that a second election be held to determine whether Adtranz employees in Pittsburg, Calif., wanted to be represented by the Machinists Automotive Trade District Lodge 190 of Northern California. The appeals court finds it lacks jurisdiction to consider Adtranz's appeal of the order for a new election, because it is not a final order. The court rejects the board's view that the ban on abusive and threatening language was an unfair labor practice regardless of whether it actually chilled employees' exercise of their rights. Judge Sentelle finds the solicitation-distribution rule is legal because it ""only applies to conduct during working time and in the work place"" and ""applies across the board, so it cannot be said to discriminate against unionization efforts or other protected activity."" . . . Page AA-1,  Text E-1 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5k3h4_ http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5e3e4_ WORKPLACE PANIC ATTACKS RENDER EMPLOYEE UNQUALIFIED UNDER ADA A former customer service worker for a Wisconsin power company fired after having panic attacks at work that likely stemmed from a head injury was unable to establish that her discharge was illegal under the Americans with Disabilities Act, the Seventh Circuit rules (""Emerson v. Northern States Power Co.,  ""7th Cir.,  No. 00-3746,  6/26/01). Loretta M. Emerson failed to show she was a ""qualified individual"" under the act, given that her anxiety attacks could interfere with her ability to answer customer phone calls about gas or electricity emergencies, Judge Bauer finds, affirming summary judgment to Northern States Power Co. Bauer also finds Emerson posed a direct threat to her employer, because her job ""required prompt, accurate handling of emergencies such as gas leaks and downed power lines that could pose significant danger to the public."" . . . Page A-8 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5q2p6_ UAN DELEGATES VOTE UNANIMOUSLY TO AFFILIATE WITH AFL-CIO Delegates to the National Labor Assembly of the United American Nurses, the labor arm of the American Nurses Association, unanimously vote to affiliate with the AFL-CIO. If all goes as planned, the affiliation of the 100,000-member union will become effective July 1. However, it appears one more hurdle may need to be cleared before the affiliation, which has been in the works for more than a year, becomes a reality. The ANA House of Delegates is scheduled to vote June 30 on a bylaw change that would require any state nurses' association that engages in collective bargaining to be a member of UAN within four years. This was a condition of the AFL-CIO granting a charter. It is unclear whether the bylaw change will pass, and if it does not what happens to the affiliation agreement. . . . Page B-1 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5j7f6_ NEW YORK CITY PARTLY IMMUNE FROM BIAS LAW, COURT FINDS In a case of first impression, a federal trial court overturns a jury's $1 million sexual harassment punitive damages award against New York City because it did not explicitly waive sovereign immunity from punitive damages under the city's human rights ordinance (""Katt v. New York City, ""S.D.N.Y., No. 95 Civ. 8283 (GEL), 6/19/01). Rejecting the defendants' other post-verdict motions, however, Judge Lynch of the U.S. District Court for the Southern District of New York upholds the jury's award of $400,000 in compensatory damages. The court rejects the city's affirmative defense that plaintiff Alli Katt failed to take advantage of the New York Police Department's complaint process, finding that she was intimidated into not doing so because of explicit and implicit pressure. The court also rejects the city's late-raised challenge to the timeliness of the complaint. . . . Page A-1 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j4v7g9_ HOFFA, LEEDHAM NOMINATED AS CANDIDATES FOR TEAMSTERS PRESIDENT In a noisy but orderly session of the International Brotherhood of Teamsters convention June 28, incumbent President James P. Hoffa and challenger Tom Leedham both are nominated for the union's top office.  Also nominated are current IBT Secretary-Treasurer Tom Keegel and Leedham running-mate Tom Gilmartin, the head of IBT Local 559 in Connecticut. Delegate voting will occur late June 28 to determine if the candidates received the requisite 5 percent support for their names to be placed on the ballot for the fall election among the union's 1.4 million members. That Hoffa will receive 5 percent of the delegates' votes is a foregone conclusion given his overwhelming support among the more than 1,700 delegates. Voice votes on various resolutions and constitutional amendments appear to show that Leedham has the support of only a few hundred delegates in his second challenge to Hoffa for the union presidency. However, Leedham and members of his campaign appear confident he will get the votes necessary to be placed on the ballot. Other members of Leedham's slate earlier received more votes than necessary to be placed on the ballot. . . . Page C-1 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5g8z1_ OSHA READIES MANDATORY EMPLOYER SURVEY FOR DISTRIBUTION The week of July 2 will signal the launch of the Occupational Safety and Health Administration's annual mandatory survey of more than 80,000 employers nationwide to gather injury and illness data to better target high-hazard employers. The agency, however, will not include construction employers in the upcoming survey. The 2001 survey program ""improves OSHA's ability to identify and target our  efforts on the more hazardous workplaces,"" acting OSHA Administrator R. Davis Layne says. The survey requests calendar year 2000 data. OSHA inspections based on the 2000 data will not be launched until January or February of 2002, the OSHA spokesman says. Employers will be asked to supply figures for average employment, hours worked, and a summary of the job-related injuries and illnesses that occurred at their work sites in 2000, the agency says.  The surveys must be returned even if a surveyed employer recorded no occupational injuries or illnesses for 2000, the agency says. . . . Page A-1 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5h0x6_ ______________ TODAY'S EVENTS ______________ GDP: Second revision of gross domestic product for the first quarter released, 8:30 a.m., Commerce Department. ________________ ALSO IN THE NEWS ________________ LAYOFFS: Reflecting the weakened labor market, both the number of mass layoff events and the number of workers involved were significantly higher during the first five months of this year than in the same period of 2000. The layoff events reported for May alone involved a total of 155,759 workers. . . . Page D-1 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5j8p4_ UNEMPLOYMENT INSURANCE: New UI claims filed with state agencies fell for the third consecutive week, down 16,000 to a seasonally adjusted total of 388,000 for the week ended June 23. . . . Page D-6 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5h5h2_ HEALTH CARE EMPLOYEES: Several factors are combining to constrain the current supply of nurses in the United States, a key factor being job dissatisfaction, according to the General Accounting Office. . . . Page A-5 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5c8p3_ ENTERTAINMENT: Members of six unions representing 25,000 workers at Walt Disney World in Orlando, Fla., are scheduled to vote July 6 on a new three-year contract with the Walt Disney World Co. . . . Page A-6 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5m9f3_ ____ TEXT ____ UNFAIR LABOR PRACTICES: District of Columbia Circuit decision in ""Adtranz ABB Daimler-Benz Transportation N.A. Inc. v. NLRB. "". . . Page E-1 http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5e3e4_ _________________ TABLE OF CONTENTS _________________ LEADING THE NEWS UNFAIR LABOR PRACTICES    Overturning NLRB, D.C. Circuit finds California firm's    workplace policies barring abusive and threatening    language and restricting solicitation and distribution    did not constitute unfair labor practices . . . Page    AA-1,  Text E-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5k3h4_    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5e3e4_ ____ NEWS ____ DISABILITIES    Seventh Circuit rules former customer service worker at    Wisconsin power company, fired after having panic attacks    at work likely related to head injury, failed to    establish she was ""qualified individual"" under ADA . . .    Page A-8    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5q2p6_ DISCRIMINATION    House Judiciary Committee expects to vote on bill (H.R.    7) that would allow religious organizations to compete    for federal grants, including proposed amendment from    panel chairman that would narrow ability of such    organizations to discriminate in employment . . . Page    A-12    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5m7q5_ ECONOMIC OUTLOOK    UCLA Anderson Forecast finds California facing most    troublesome period since early 1990s, predicts sharply    lower growth through at least 2002 . . . Page A-3    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j4m8v2_ ENTERTAINMENT    Members of six unions representing 25,000 workers to vote    July 6 on new three-year contract with Walt Disney World    Co. . . . Page A-6    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5m9f3_ HEALTH CARE    Senate Democrats prevail on amendment challenges to    patients' bill of rights legislation, but prospects for    wrapping up work on bill by close of Senate business for    night appear dim . . . Page A-10    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5v0u5_ HEALTH CARE EMPLOYEES    GAO cites job dissatisfaction as top among several    factors combining to constrain current supply of nurses    in United States . . . Page A-5    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5c8p3_ HELP-WANTED ADS    Conference Board finds demand for labor declined in May    as help-wanted advertising index fell by 5 percentage    points from previous month, to 60 percent . . . Page A-5    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5j9t7_ SAFETY & HEALTH    Official says Labor Department will go forward with    Clinton administration rule changing the way some 1.3    million worksites are required to record employee    injuries and illnesses . . . Page A-9    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5r0g7_    OSHA announces July 2 launch of annual mandatory survey    gathering injury and illness data from more than 80,000    employers to better target high-hazard employers . . .    Page A-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5h0x6_    Study finds consequences of feeling overworked can affect    employees' job performance and lead to poorer health . .    . Page A-6    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5n9r1_ SEX DISCRIMINATION    Seventh Circuit affirms grant of summary judgment to    employer of female manager passed over for promotion and    transferred to another facility, finding that she failed    to establish similarly situated male was treated more    favorably . . . Page A-4    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j4g0q8_ SEXUAL HARASSMENT    Federal judge overturns jury's award of $1 million in    punitive damages against New York City because city did    not explicitly waive sovereign immunity under human    rights ordinance . . . Page A-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j4v7g9_ STEEL    Geneva Steel and United Steelworkers reach tentative,    one-year contract covering 1,500 workers at company's    Vineyard, Utah, mill . . . Page A-13    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5g8h7_ TRADE    In letter to President Bush, twenty-five House Democrats    denounce direction House GOP leadership and    administration are taking on trade . . . Page A-7    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5q2j2_ WORKFORCE REDUCTIONS    John Deere & Co. announces plans to cut salaried    workforce in United States by 8 percent, or 1,250 jobs .    . . Page A-13    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5d1v8_ ______________ SPECIAL REPORT ______________ HEALTH CARE EMPLOYEES    Delegates to second annual National Labor Assembly of    United American Nurses, labor arm of American Nurses    Association, vote unanimously to affiliate with AFL-CIO .    . . Page B-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5j7f6_ _________________ CONVENTION REPORT _________________ TEAMSTERS    IBT delegates nominate incumbent President James P. Hoffa    and challenger Tom Leedham for union's top office in    noisy but orderly session . . . Page C-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5g8z1_ _____________ ECONOMIC NEWS _____________ LAYOFFS    Labor Department's Bureau of Labor Statistics reports    both number of mass layoff events and number of workers    involved were significantly higher during first five    months of this year than during same period last year,    reflecting weakened labor market . . . Page D-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5j8p4_ UNEMPLOYMENT INSURANCE    Labor Department's Employment and Training Administration    reports new unemployment insurance claims filed with    state agencies fell for third consecutive week, down    16,000 to seasonally adjusted total of 388,000 for week    ended June 23 . . . Page D-6    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5h5h2_ ____ TEXT ____ UNFAIR LABOR PRACTICES    District of Columbia Circuit decision in ""Adtranz ABB    Daimler-Benz Transportation N.A. Inc. v. NLRB"" . . . Page    E-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5e3e4_ ______________ TABLE OF CASES ______________ Adtranz ABB Daimler-Benz Transp. N.A. Inc. v. NLRB (D.C. Cir.) . . . Page AA-1,  text E-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5k3h4_    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5e3e4_ Emerson v. Northern States Power Co. (7th Cir.) . . . Page A-8    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j5q2p6_ Hoffman-Dombrowski v. Arlington Int'l Racecourse Inc. (7th Cir.) . . . Page A-4    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j4g0q8_ Katt v. New York City (S.D.N.Y.) . . . Page A-1    http://pubs.bna.com/ip/BNA/dlr.nsf/id/a0a4j4v7g9_    __________    Daily Labor Report (ISSN 1522-5968) Highlights are    published daily by The Bureau of National Affairs, Inc.,    1231 25th St., NW, Washington, DC 20037.    For account information and changes, contact    1-800-372-1033 (M-F, 8:30 am-7:00 pm ET)    To request retransmission or to order a copy of the    summarized article, contact 1-800-452-7773 or e-mail    bnaplus@bna.com.    For copyright guidelines, go to    http://www.bna.com/corp/copyright.    Copyright (c) 2001 by The Bureau of National Affairs,    Inc.  Washington, D.C.  20037.  Use of this service is    subject to the terms and conditions of the license    agreement with BNA.  Unauthorized access or distribution    is prohibited.",Non-Persuasive,.,None,None
"Hi Chris,  

Tonight we are rolling out a new report.  Currently, only you and Jon have access to it.  You'll select it off the main reports menu.  It will say ""NGX Download report"".  When you launch it, it will show the data on screen like all other reports.  There is a button at the bottom that says ""Export"".  Clicking it will give you several selections.  Choose the one that says ""Save to NGX XML"".  You can then save it as a file which can be mailed to NGX.  

Let me know if there is anyone else who needs access.

Thanks!
 -jay",Non-Persuasive,"The message is informative and lacks any emotional appeals, value judgments, or attempts to influence the reader's opinion.",None,None
"Rika r these new?

 -----Original Message-----
From: 	Thomas, Paul D.  
Sent:	Friday, June 29, 2001 8:39 AM
To:	Symms, Mark
Subject:	Intranet Site

Mark,
We need a few links to added to the East Power Web Site... the following links

PJM PRICE SUMMARY
http://eastpower.dev.corp.enron.com/summary/pjmsummary.asp

NEW YORK ISO PRICE SUMMARY
http://eastpower.dev.corp.enron.com/summary/nyisosummary.asp

NEW YORK eDATA
http://eastpower.dev.corp.enron.com/Cooper/MID_NYISO.ASP

Add the following links under daily information.
Let me know if you have any questions.

Thanks,
Paul",Non-Persuasive,"The paragraph lacks a clear persuasive goal, tone, or emotional appeal; it appears to be a simple request or instruction.",None,None
"John/Gerald, We are currently trading under GTC Spot contracts with El Paso for ENA Upstream.  Would you prefer to review their Master agreement or just send them our GISB? Thanks, Judy Thorne  -----Original Message----- From: 	""McGowen, Jan""  Sent:	Tuesday, June 26, 2001 6:15 PM To:	Thorne, Judy Cc:	Gregory, Harry Subject:	RE: ENA Upstream Company information Judy:  Thank you for your quick response.  Attached please find a copy of our pro forma master agreement for your review.  I am filling in for the analyst, Harry Gregory, who usually handles the Enron companies while he is on vacation this week.  This may be turned back to him when he returns but for now, you can call me with any questions, comments or recommendations. Thank you, Jan McGowen Sr. Contract Analyst El Paso Merchant Energy, L.P. (713) 420-3490 -----Original Message----- From: Thorne, Judy [mailto:Judy.Thorne@ENRON.com] Sent: Tuesday, June 26, 2001 4:40 PM To: jan.mcgowen@elpaso.com Subject: ENA Upstream Company information Jan, Here is our company information. Please let me know if you need anything else.  <> Judy Thorne ENA Upstream Company LLC 713-853-4758 ****************************************************************** This email and any files transmitted with it from the ElPaso Corporation are confidential and intended solely for the use of the individual or entity to whom they are addressed. If you have received this email in error please notify the sender. ******************************************************************  - multi5-25-01.doc",Non-Persuasive,"The paragraph appears to be a straightforward exchange of information between two companies, with no apparent attempt to persuade or influence the recipient.",None,None
"Gerald and Stacy -

Attached is a worksheet for a new master physical with Berry Petroleum Company.  Please prepare draft at your earliest convenience and contact me when ready.  I am getting the email address of the Berry Petroleum person to whom we need to send this.


Thanks,

Jay",Non-Persuasive,The paragraph lacks any persuasive language or emotional appeals; it is a straightforward request for a task.,None,None
"FYI. Below is a copy of my communication with Mirant Americas regarding our GISB in case someone from Mirant calls regarding the contract. Thanks, Judy  -----Original Message----- From: 	Thorne, Judy   Sent:	Friday, June 29, 2001 10:17 AM To:	'""Tolbert, Stephany"" @ENRON' Subject:	RE: ENA Upstream Company/Mirant GISB Stephany, I hate to admit it, but that is because I forgot to attach it. Sorry about that.  Let's try it again.   Thanks, Judy Thorne  -----Original Message----- From: 	""Tolbert, Stephany""  Sent:	Friday, June 29, 2001 9:41 AM To:	Thorne, Judy Subject:	RE: ENA Upstream Company/Mirant GISB I didn't get the attachment. Stephany Tolbert Mirant Americas Energy Marketing, LP Contract Analyst (678) 579-3445 Email: stephany.tolbert@mirant.com -----Original Message----- From: Thorne, Judy [mailto:Judy.Thorne@enron.com] Sent: Friday, June 29, 2001 10:23 AM To: stephany.tolbert@mirant.com Subject: ENA Upstream Company/Mirant GISB Stephany, Per my voicemail, I am forwarding for your review the attached sample of Enron Upstream Company, LLC's GISB.   I apologize, but I was unable to get the name of the trader from Mirant with whom we transacted. Please do not hesitate to give me a call with any questions you may have regarding the enclosed. Thanks, Judy Thorne ENA Upstream Company, LLC 713-853-4758",Non-Persuasive,This paragraph appears to be a simple exchange of emails between two individuals regarding a contract. There is no apparent attempt to persuade the reader or influence their opinion.,None,None
"PG&E GT-NW Plans Lateral Across Washington State 
PG&E Gas Transmission-Northwest (GTN) said it received market requests for about three times the capacity on a proposed lateral that would cross Washington and compete with Northwest Pipeline for rapidly expanding power generation markets in the western half of the state along the I-5 highway corridor. GTN closed its open season for the Washington Lateral Project June 22. It was the third open season for a GTN pipeline expansion this year. Meanwhile Northwest Pipeline has four expansions of its own planned for the region. 
""The level of customer interest we received demonstrates the increasing demand for gas in Washington State,"" said Peter Lund, vice president of the PG&E National Energy Group, which includes GTN. Lund said GTN envisions a pipeline capable of transporting 300,000 to 400,000 Dth/d of gas. GTN said it received expressions of interest from local distributors and power generators. 
The lateral would begin at GTN south of Spokane and head west to the Mid-Columbia area in central Washington, across the Cascades to the I-5 corridor in western Washington, which is served currently by only Northwest Pipeline. The ultimate route for the project has not been determined, and exact delivery points will be determined as the pipeline works out agreements with customers, the company said. ""I want you to know that Mount Rainier is in the middle of the route area we are looking at but we will not be going over Mount Rainier because it's a national park; there's no way we are going to do that,"" said a GTN spokeswoman. ""We're basically going to go from east to west over the mountains to I-5."" 
The pipeline companies in the Pacific Northwest have worked themselves into an expansion frenzy with two large mainline expansions and this new state-crossing lateral planned by GTN and four large laterals, including a new line to Vancouver Island, planned by Williams' Northwest Pipeline.  The power crisis has been the primary driver. Up until the last few decades, the region has relied on hydroelectricity and wood for its power generation, but now it is turning to natural gas.",Persuasive,"The paragraph presents a strong case for the necessity of the pipeline, citing customer interest and growing demand for natural gas in the region, while also addressing potential concerns about the route.","""The level of customer interest we received demonstrates the increasing demand for gas in Washington State.""","Appeal to Authority (Peter Lund, vice president of the PG&E National Energy Group), Loaded Language (use of ""expansion frenzy""), Repetition (reiteration of the need for natural gas in the region).  # Persuasive Techniques in a Paragraph #"
"Mark -- I am working with the East power desk to purchase space for an EnronOnline banner ad on a PJM website.  We are buying 7 ads at 500/month/ad for 3 months ($10,500 total).  They are running this ad as a pilot program offered for only 3 months.  I am attaching the agreement they sent to us.  I would like to revise section 2.01 to state that EnronOnline has first right of refusal to keep the ad on their site if they extend the program after three months.  Could you help me revise this agreement?

Thanks

Kal",Non-Persuasive,"The paragraph appears to be a formal business communication, lacking emotional appeals or persuasive language.",None,None
"oops.  here it is.

kal
 



 -----Original Message-----
From: 	Shah, Kal  
Sent:	Friday, June 29, 2001 1:37 PM
To:	Taylor, Mark E (Legal)
Subject:	Internet Advertising agreement

Mark -- I am working with the East power desk to purchase space for an EnronOnline banner ad on a PJM website.  We are buying 7 ads at 500/month/ad for 3 months ($10,500 total).  They are running this ad as a pilot program offered for only 3 months.  I am attaching the agreement they sent to us.  I would like to revise section 2.01 to state that EnronOnline has first right of refusal to keep the ad on their site if they extend the program after three months.  Could you help me revise this agreement?

Thanks

Kal",Non-Persuasive,"This paragraph is a business communication, not intended to persuade anyone. It's a straightforward request for help with a contract revision.",None,None
"Mark and Charlie,

FMPA is ready to bill us for the oil, but they have a couple of questions.  They want to know whom and where do they send the invoice and what should they reference.  Email your response or any questions to Steve McElhaney at FMPA (steve.mcelhaney@fmpa.com).

In case I forgot to tell y'all, I am going on vacation (right now) through 7/16.  I'll have my cell phone and will check voicemails periodically.

Thanks again for your help and if I miss you, have a great Fourth,

Mathew",Non-Persuasive,"This paragraph is a straightforward communication about an upcoming invoice and a vacation notice, with no apparent attempt to influence or persuade the reader.",None,None
