Text,Predicted_Label,Justification,Persuasive_Phrases,Techniques
"( see attached file : hplno 525 . xls )
- hplno 525 . xls",Non persuasive,The paragraph appears to be a simple data file reference with no persuasive language or techniques used.,None,None
"- - - - - - - - - - - - - - - - - - - - - - forwarded by sabrae zajac / hou / ect on 05 / 30 / 2001 12 : 07 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital & trade resources corp . from : "" eileen ponton "" 05 / 29 / 2001 08 : 37 am
to : davilal @ txu . com , cstonel @ txu . com , mjones 7 @ txu . com , hpl . scheduling @ enron . com , liz . bellamy @ enron . com , szajac @ enron . com
cc :
subject : re : nom / actual vols for 24 th
i will agree with your nomination of 33 . 750
- - - - - forwarded by eileen ponton / houston / pefs / pec on 05 / 29 / 01 08 : 36 am
- - - - -
"" charlie
stone "" to : "" eileen ponton ""
, "" melissa jones ""
com > , hpl . scheduling @ enron . com , liz . bellamy @ enron . com ,
szajac @ enron . com
05 / 25 / 01 subject : re : nom / actual vols for 24 th
04 : 23 pm
we do not agree with the "" nominated "" volume .
our records reflect the following nom . schedule .
30 rate , eff . 0900 hrs through hour beginning 1400 hrs .
6 . 250
60 rate , eff . 1400 hrs through hour beginning 1700 hrs .
7 . 500
30 rate , eff . 1700 hrs through hour beginning 0900 hrs .
20 . 000
total nominated 33 . 750
please review your source data and let us know if you agree with the above .
thanks ,
ccs
"" eileen ponton "" on 05 / 25 / 2001 04 : 06 : 50 pm
to : david avila / lsp / enserch / us @ tu , charlie stone / energy / txu @ tu , melissa
jones / energy / txu @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com ,
szajac @ enron . com
cc :
subject : nom / actual vols for 24 th
nom mcf mmbtu
27 , 500 33 , 109 34 , 003",Non persuasive,"The paragraph appears to be a factual exchange of information between colleagues, discussing volume nominations and actual volumes for a specific date.",None,None
"estimated actuals
march 30 , 2001
no flow
march 31 , 2001
no flow
april 1 , 2001
teco tap 35 . 000
when i receive the actuals from duke i will forward them to you .",Non persuasive,"This paragraph appears to be a factual report or a record of events, lacking any persuasive language or emotional appeal.",None,None
"( see attached file : hplno 530 . xls )
- hplno 530 . xls",Non persuasive,The paragraph appears to be a simple file attachment request with no persuasive language or techniques used.,None,None
"( see attached file : hplno 601 . xls )
- hplno 601 . xls",Non persuasive,The paragraph does not contain any persuasive language or techniques. It appears to be a simple attachment request.,None,None
"( see attached file : hplno 531 . xls )
- hplno 531 . xls",Non persuasive,"The paragraph lacks any logical argument or emotional appeal, and only contains a file name and a URL.",None,None
"tried to get fancy with your address and it came back to me !
- - - - - - - - - - - - - - - - - - - - - - forwarded by lauri a allen / hol / aepin on 10 / 25 / 2001 01 : 11 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
to : daren . farmer @ enron . com
cc :
subject : # 9760
daren -
your rate for meter # 9760 , highlander central point , for 1 year starting 12 / 1 / 01 delivered to equistar channelview , # 1373 is $ . 07 / mm . that price expires in 1 week , on november 1 , 2001 . let me know if you need me to refresh after that time . thanks !",Non persuasive,This paragraph appears to be a straightforward email message with no apparent persuasive language or techniques.,None,None
"( see attached file : hplo 215 . xls )
- hplo 215 . xls",Non-Persuasive,Not Found,Not Found,Not Found
"- - - - - original message - - - - -
from : christinehauk @ txu . com [ mailto : christinehauk @ txu . com ]
sent : monday , november 26 , 2001 9 : 45 am
to : buss , jd
subject : pooling contract template
( see attached file : line x pool contract . doc )",Non persuasive,This paragraph appears to be a simple email transmission with no persuasive language or techniques used. It is a factual communication conveying information about a file attachment.,None,None
"( see attached file : hplo 328 . xls )
- hplo 328 . xls",Non persuasive,"The paragraph lacks any clear argument, claim, or message, making it difficult to analyze for persuasion.",None,None
